,B,current,parameter,temperature,voltage
0,-1.699999999999999e-05,-0.04999625531914893,"""data(81,-0)""",81.03000000000007,0.00615472340425532
1,0.9996989999999998,-0.049996521739130426,"""data(81,-1)""",81.01000000000009,0.005654782608695652
2,2.0089040000000007,-0.04999641176470589,"""data(81,-2)""",81.02745098039225,0.005803627450980392
3,3.0000069999999988,-0.049996638297872334,"""data(81,-3)""",81.02170212765957,0.005851531914893617
4,4.020290999999996,-0.04999887234042552,"""data(81,-4)""",81.02468085106392,0.0059367872340425525
5,5.001410999999996,-0.04999864,"""data(81,-5)""",81.02019999999999,0.006452319999999999
6,-1.699999999999999e-05,0.04999699999999997,"""data(81,0)""",81.03000000000007,0.005942690476190475
7,0.9996989999999999,0.049996729729729704,"""data(81,1)""",81.02027027027026,0.00566372972972973
8,2.0089040000000007,0.04999775862068967,"""data(81,2)""",81.03034482758625,0.005825568965517242
9,3.000007000000001,0.049997421052631594,"""data(81,3)""",81.01789473684212,0.006128508771929825
10,4.0202909999999905,0.049998142857142894,"""data(81,4)""",81.03104761904757,0.006323247619047622
11,5.0014109999999965,0.04999789795918366,"""data(81,5)""",81.02142857142859,0.006612938775510206
12,-4.099999999999997e-05,-0.049996050000000035,"""data(85,-0)""",84.9973333333333,0.00681525
13,1.0000039999999997,-0.04999599999999997,"""data(85,-1)""",84.99924999999999,0.0067063750000000005
14,2.0001270000000027,-0.049996000000000033,"""data(85,-2)""",85.01423728813566,0.006669338983050846
15,3.000027999999998,-0.04999600000000001,"""data(85,-3)""",84.99719999999999,0.006228440000000002
16,4.000010000000002,-0.049995999999999985,"""data(85,-4)""",84.9978125,0.006351000000000001
17,4.999968999999995,-0.04999599999999999,"""data(85,-5)""",85.00355555555558,0.006417311111111111
18,-4.099999999999997e-05,0.04999786206896554,"""data(85,0)""",84.99672413793101,0.006866655172413795
19,1.0000039999999992,0.0499960625,"""data(85,1)""",85.0010416666667,0.0067024583333333354
20,2.000127000000002,0.0,"""data(85,2)""",85.00442307692312,0.006475519230769231
21,3.000028,0.049995999999999985,"""data(85,3)""",85.00837209302327,0.00643986046511628
22,4.000010000000002,0.04999600000000001,"""data(85,4)""",84.98079999999999,0.006437339999999999
23,4.999968999999995,0.049996,"""data(85,5)""",84.98760869565213,0.006478347826086957
24,-6.600000000000006e-05,-0.04999600000000002,"""data(87,-0)""",87.00740740740748,0.006569333333333329
25,1.0000280000000001,-0.04999600000000004,"""data(87,-1)""",87.02359375000005,0.0060259218750000005
26,2.0000160000000013,-0.04999599999999999,"""data(87,-2)""",87.04909090909094,0.006057886363636363
27,3.0000440000000013,-0.04999599999999999,"""data(87,-3)""",87.14622222222225,0.005904533333333336
28,3.9999620000000036,-0.04999600000000001,"""data(87,-4)""",86.99411764705877,0.006192215686274509
29,5.000045,-0.04999599999999999,"""data(87,-5)""",87.05511111111115,0.006383400000000001
30,-6.600000000000006e-05,0.04999600000000007,"""data(87,0)""",87.03952380952381,0.006101095238095239
31,1.0000280000000001,0.04999600000000002,"""data(87,1)""",87.00490909090914,0.0062984
32,2.0000160000000013,0.04999600000000001,"""data(87,2)""",87.05596153846156,0.006200365384615385
33,3.0000440000000013,0.049995999999999985,"""data(87,3)""",87.0920930232558,0.005998348837209302
34,3.9999620000000027,0.04999599999999999,"""data(87,4)""",87.01088888888897,0.006585844444444443
35,5.000045,0.049996000000000033,"""data(87,5)""",87.0415254237289,0.0068825593220338994
36,-4.0000000000000064e-05,-0.049996000000000033,"""data(89,-0)""",89.00883333333334,0.005064566666666669
37,0.9999249999999994,-0.049996000000000006,"""data(89,-1)""",89.00645833333336,0.005100041666666665
38,1.9999399999999994,-0.04999599999999999,"""data(89,-2)""",88.98090909090907,0.005237568181818183
39,3.0002340000000025,-0.049995999999999985,"""data(89,-3)""",89.03166666666671,0.0057245714285714296
40,3.999955000000001,-0.04999600000000004,"""data(89,-4)""",89.01863636363639,0.0056486212121212125
41,5.000063000000004,-0.049996000000000006,"""data(89,-5)""",88.85979591836731,0.005889979591836735
42,-4.000000000000005e-05,0.049996,"""data(89,0)""",88.9276086956522,0.005266260869565217
43,0.9999249999999995,0.049996000000000054,"""data(89,1)""",89.01027777777773,0.0053015416666666645
44,1.9999399999999992,0.049996,"""data(89,2)""",88.91804347826088,0.005667608695652172
45,3.0002340000000034,0.04999600000000001,"""data(89,3)""",89.03039215686273,0.005794980392156863
46,3.9999550000000004,0.049996000000000006,"""data(89,4)""",88.991875,0.0059418333333333346
47,5.0000630000000035,0.049995999999999985,"""data(89,5)""",88.94790697674416,0.006118790697674419
48,5.000000000000009e-06,-0.049996000000000054,"""data(90,-0)""",89.85400000000003,0.0065708
49,0.9999719999999997,-0.04999599999999999,"""data(90,-1)""",90.01925925925926,0.006425555555555556
50,1.9999630000000026,-0.049996000000000096,"""data(90,-2)""",90.01229508196724,0.006944196721311474
51,2.9999730000000016,-0.04999600000000003,"""data(90,-3)""",89.97172413793103,0.006793758620689656
52,4.000051000000005,-0.04999600000000002,"""data(90,-4)""",90.18240740740738,0.006549259259259259
53,4.9999510000000065,-0.049996000000000054,"""data(90,-5)""",89.94972602739719,0.0063209589041095865
54,5.00000000000001e-06,0.04999600000000008,"""data(90,0)""",90.01500000000007,0.006874000000000003
55,0.9999719999999999,0.04999600000000006,"""data(90,1)""",90.0024358974359,0.006836051282051279
56,1.9999629999999975,0.04999600000000004,"""data(90,2)""",89.93515624999993,0.006920296874999999
57,2.9999730000000024,0.04999600000000004,"""data(90,3)""",89.92619047619046,0.007068666666666664
