20, 820.40, 1.86
30, 831.77, 1.61
40, 840.24, 1.74
50, 850.28, 1.53
60, 858.43, 1.48
70, 868.10, 1.43
80, 877.79, 1.18
90, 888.62, 1.25
100, 898.10, 1.10
110, 910.31, 1.01
120, 920.38, 1.15
130, 927.44, 1.06
