Untitled,Untitled 1
-0.001935,0.001649
-0.001935,0.000997
-0.001935,0.001323
-0.001284,0.001323
-0.000306,0.001649
-0.001284,0.001975
-0.001284,0.000997
-0.000306,0.001649
-0.001609,0.000997
-0.001609,0.001323
-0.001609,0.000671
-0.000958,0.000997
-0.001609,0.001975
-0.001609,0.002626
-0.001284,0.001649
-0.001935,0.001975
-0.001609,0.002952
-0.001609,0.001649
-0.001935,0.002626
-0.001935,0.0023
-0.000958,0.0023
-0.001284,0.0023
-0.001935,0.0023
-0.001935,0.0023
-0.001609,0.000345
-0.001284,0.000671
-0.001609,0.0023
-0.001609,0.002626
-0.001609,0.0023
-0.001284,0.0023
-0.001284,0.0023
-0.001935,0.002626
-0.001609,0.002626
-0.001284,0.002626
-0.001284,0.001323
-0.001935,0.0023
-0.001935,0.0023
-0.001609,0.001649
-0.001284,0.001323
-0.000632,0.001323
-0.002261,0.001323
-0.001935,0.001649
-0.001609,0.000997
-0.001284,0.000671
-0.001935,0.000997
-0.001284,0.000997
-0.000632,0.000671
-0.000958,0.000345
-0.000958,0.001323
0.00002,0.001649
-0.000306,0.001649
0.001975,0.000997
0.001649,0.000997
0.003278,0.000345
0.005233,0.001323
0.004907,0.000997
0.00621,0.001975
0.007514,0.001649
0.008165,0.001975
0.008491,0.000997
0.009143,0.001323
0.009794,0.001323
0.01012,0.001323
0.009469,0.000997
0.010446,0.001323
0.011098,0.001649
0.011424,0.001649
0.012075,0.001323
0.013053,0.001975
0.012727,0.001323
0.01403,0.001323
0.013379,0.0023
0.013053,0.000997
0.014356,0.000997
0.015333,0.001649
0.015659,0.001649
0.016637,0.001649
0.015659,0.001323
0.016637,0.001649
0.016637,0.001649
0.01794,0.001323
0.018266,0.0023
0.018918,0.000997
0.021524,0.001975
0.02185,0.0023
0.024457,0.0023
0.024131,0.001649
0.024131,0.001649
0.02576,0.001649
0.025108,0.001975
0.026737,0.0023
0.028041,0.001649
0.028692,0.001975
0.028692,0.0023
0.029996,0.002626
0.029996,0.003278
0.030973,0.0023
0.030647,0.0023
0.031299,0.001649
0.031625,0.002952
0.032276,0.0023
0.031625,0.001975
0.030973,0.001649
0.031299,0.002626
0.031299,0.001975
0.031299,0.0023
0.031951,0.0023
0.032928,0.002952
0.03358,0.0023
0.034557,0.0023
0.035535,0.002952
0.035209,0.0023
0.035535,0.0023
0.036512,0.002952
0.037164,0.002626
0.03749,0.0023
0.037164,0.002626
0.038793,0.002952
0.039119,0.002626
0.040748,0.001975
0.041074,0.002952
0.041074,0.002952
0.042051,0.001649
0.042703,0.001975
0.044332,0.003604
0.045635,0.0023
0.046287,0.0023
0.04759,0.002952
0.046613,0.002626
0.047916,0.002952
0.048568,0.0023
0.048894,0.002952
0.049871,0.001975
0.050197,0.002626
0.050523,0.003604
0.0515,0.002626
0.050523,0.002952
0.051174,0.0023
0.052803,0.002952
0.052803,0.002626
0.054758,0.002626
0.05541,0.0023
0.056062,0.003278
0.056713,0.002952
0.057365,0.001975
0.058668,0.003278
0.058994,0.001975
0.05932,0.001649
0.058342,0.001649
0.058668,0.001323
0.058017,0.001323
0.058994,0.001649
0.059646,0.001975
0.060949,0.001323
0.062578,0.001649
0.062578,0.001323
0.063556,0.001649
0.064859,0.000997
0.064859,0.000671
0.066162,0.000671
0.067466,0.001649
0.06714,0.001323
0.068117,0.000997
0.068443,0.000997
0.068443,0.001975
0.068443,0.001323
0.068443,0.001323
0.067791,0.001649
0.068443,0.002952
0.068769,0.002626
0.070072,0.0023
0.070072,0.002626
0.071701,0.0023
0.072679,0.002626
0.073005,0.001649
0.073982,0.002626
0.074634,0.001975
0.07496,0.0023
0.07496,0.001975
0.076263,0.0023
0.076589,0.0023
0.07724,0.0023
0.077566,0.0023
0.077892,0.002952
0.078218,0.002626
0.078218,0.001975
0.077566,0.0023
0.078544,0.0023
0.078869,0.001975
0.080824,0.001649
0.081476,0.000997
0.084083,0.000997
0.084083,0.001975
0.086038,0.001323
0.087015,0.001323
0.087341,0.001323
0.088644,0.001323
0.089296,0.0023
0.089948,0.001323
0.090599,0.000671
0.089948,0.000671
0.090925,0.001649
0.093206,0.0023
0.093532,0.001975
0.094835,0.001649
0.094835,0.0023
0.096138,0.0023
0.098093,0.0023
0.098745,0.001649
0.100048,0.001323
0.100048,0.001975
0.1007,0.0023
0.102003,0.002626
0.102329,0.002952
0.102981,0.0023
0.101677,0.001975
0.103632,0.003604
0.104936,0.00393
0.106239,0.00393
0.10852,0.003604
0.109497,0.00393
0.110149,0.00393
0.110149,0.004255
0.1108,0.004255
0.111778,0.00393
0.112755,0.004581
0.113733,0.004255
0.112755,0.004255
0.114059,0.005233
0.115036,0.005233
0.114384,0.005233
0.116339,0.004581
0.117317,0.004907
0.119598,0.005233
0.120575,0.005559
0.121878,0.004907
0.122856,0.005885
0.123182,0.005885
0.124485,0.00621
0.124811,0.005559
0.124811,0.005233
0.126114,0.005885
0.126114,0.005885
0.126114,0.005559
0.126114,0.005885
0.126114,0.005885
0.127417,0.005885
0.129047,0.005559
0.129698,0.005885
0.131327,0.005559
0.131979,0.005885
0.133282,0.005559
0.13426,0.00621
0.135237,0.006862
0.135889,0.00621
0.136541,0.005559
0.136215,0.005885
0.137518,0.005885
0.137192,0.005559
0.138821,0.00621
0.139799,0.00621
0.141428,0.00621
0.141754,0.005885
0.143383,0.00621
0.144686,0.006536
0.14436,0.005885
0.146315,0.005885
0.146641,0.006862
0.14827,0.006862
0.147619,0.00621
0.147944,0.00621
0.148596,0.006536
0.150551,0.00621
0.150551,0.006536
0.151854,0.006536
0.153484,0.005559
0.154787,0.00621
0.155764,0.00621
0.157068,0.005885
0.157068,0.00621
0.158371,0.00621
0.158371,0.006536
0.159674,0.00621
0.160978,0.005885
0.160326,0.00621
0.160978,0.00621
0.161629,0.005885
0.161303,0.005885
0.162932,0.005233
0.16391,0.00621
0.166517,0.00621
0.16782,0.005885
0.169123,0.005559
0.170101,0.006536
0.171404,0.004907
0.172056,0.005233
0.172381,0.005559
0.174662,0.005559
0.174011,0.004581
0.174336,0.004581
0.174662,0.004907
0.174662,0.004581
0.175314,0.004907
0.176943,0.004907
0.17792,0.004907
0.180201,0.004907
0.180853,0.004255
0.182156,0.00393
0.183785,0.004255
0.184437,0.004255
0.185414,0.003604
0.185089,0.003278
0.18574,0.00393
0.186392,0.002952
0.186392,0.00393
0.187695,0.003278
0.188347,0.003278
0.188673,0.004255
0.188021,0.003278
0.188347,0.003604
0.190953,0.003604
0.193234,0.00393
0.194863,0.003278
0.196492,0.00393
0.19747,0.002626
0.198773,0.002952
0.199425,0.003278
0.201054,0.002626
0.201706,0.002626
0.203009,0.0023
0.203335,0.002626
0.204312,0.003278
0.204964,0.003278
0.205616,0.002626
0.20529,0.002626
0.205616,0.003278
0.206919,0.002952
0.208222,0.002626
0.210829,0.002626
0.21148,0.003604
0.21311,0.002952
0.213761,0.002626
0.216042,0.003278
0.216368,0.002952
0.217997,0.003278
0.218974,0.00393
0.219626,0.002952
0.220929,0.002952
0.221907,0.003278
0.220929,0.00393
0.221907,0.002952
0.22321,0.0023
0.224188,0.003604
0.226468,0.002626
0.228098,0.00393
0.227772,0.004255
0.229727,0.004255
0.23103,0.004581
0.232007,0.004907
0.232333,0.005559
0.233637,0.005233
0.233962,0.004255
0.233962,0.005559
0.233311,0.004907
0.234614,0.004907
0.234288,0.005559
0.236243,0.005885
0.237872,0.004907
0.23885,0.005559
0.240805,0.005233
0.241782,0.005885
0.243086,0.005885
0.243086,0.006536
0.245366,0.005885
0.245692,0.006536
0.24667,0.00621
0.248625,0.005885
0.248625,0.006862
0.249928,0.006536
0.249928,0.006536
0.249928,0.006862
0.249928,0.006862
0.250254,0.005885
0.249276,0.007188
0.252534,0.007188
0.254489,0.006862
0.255793,0.007514
0.257422,0.006862
0.258399,0.007188
0.258074,0.007188
0.26068,0.007839
0.26068,0.007839
0.261006,0.006862
0.26068,0.006862
0.26068,0.007188
0.261983,0.006862
0.265242,0.006536
0.267848,0.006536
0.270129,0.007839
0.272084,0.007514
0.273713,0.007188
0.275016,0.006536
0.277297,0.007514
0.277623,0.007188
0.278275,0.007188
0.279252,0.007188
0.279578,0.007514
0.278926,0.006862
0.279904,0.006862
0.281207,0.006536
0.28414,0.006536
0.286746,0.006536
0.288375,0.00621
0.289353,0.006862
0.290656,0.00621
0.293263,0.00621
0.294566,0.005233
0.294566,0.00621
0.295543,0.005233
0.296195,0.005233
0.295543,0.005885
0.296195,0.004907
0.295869,0.005233
0.296521,0.004907
0.297824,0.005233
0.298802,0.004581
0.301408,0.004907
0.30206,0.004255
0.304667,0.004581
0.304667,0.004255
0.30597,0.00393
0.307599,0.004581
0.308251,0.003604
0.309554,0.003604
0.30988,0.00393
0.310206,0.00393
0.310857,0.002626
0.311509,0.00393
0.311835,0.002952
0.312812,0.004255
0.311835,0.003278
0.312486,0.004255
0.314767,0.002952
0.31607,0.002952
0.317048,0.002952
0.319003,0.002952
0.320306,0.003278
0.321935,0.002952
0.323239,0.002626
