# refined_E4_1,1.968583104769169173e-02,1.773601827964452551e-02,1.854792603989967315e-02
# refined_E4_2,2.615509668478078684e-02,1.858822191475804214e-02,1.392204779205640300e-02
# refined_E4_3,1.757263259108077236e-02,1.804032421629453431e-02,1.797379421721209680e-02
# refined_E4_4,8.594917165282165220e-03,5.755343899039592397e-05,3.556641501225688007e-02
# refined_E4_5,1.711636835043558319e-02,1.686080692190111696e-02,1.695602464856773434e-02
# refined_E4_6,2.384259922664727985e-02,2.083335557126884952e-02,1.585644533210909396e-02
# refined_E4_7,1.815708287310181107e-02,1.805129371074899389e-02,1.309399707186547149e-02
# refined_E4_8,1.294676350378118346e-02,1.570095645960007530e-02,1.192055260876424827e-02
# refined_E4_9,1.164251602771962553e-02,1.740074115734715349e-02,3.526233580090773955e-04
# refined_E4_10,1.121859668793157710e-02,1.200395644920623263e-02,1.241015757162802248e-02
# refined_E4_11,1.135501410326634521e-02,1.210659838567730053e-02,1.202085542721963336e-02
# refined_E4_12,1.149235415924548115e-02,1.647994608694918622e-02,1.708506362351174673e-02
# refined_E4_13,8.702260331772599972e-05,1.446449940922378552e-02,7.090796889283512076e-05
# refined_E4_14,4.491621820456990653e-06,4.426244456485439044e-02,5.363518795225576639e-05
# refined_E4_4,1.822796692133649490e-02,2.009019164059015414e-02,2.193273966228260694e-02
# refined_E4_9,1.164251649828100532e-02,1.740074279056906190e-02,3.510031631024247006e-04
# refined_E4_9,1.153898723861486973e-02,1.739219925541588344e-02,2.293990479336360192e-03,9.058804902184920405e-01,3.617281445182670696e-01,8.607972590822362546e-01
# refined_E4_9,1.153982921044783422e-02,1.739219619099577341e-02,2.294223522996761532e-03,-7.277352928727396156e-03,-2.906485202799808081e-03,-6.915907334778902300e-03
# refined_E4_9,1.144364239845845933e-02,1.745223416883464468e-02,8.034999999297216236e-05,7.273416952313569578e-03,2.912919443570550441e-03,1.161676353194419642e+00
# refined_E4_3,1.026741454990435197e-02,1.835170085833604664e-02,2.787584187543567347e-05,1.697716594222030070e-02,2.021594111801723950e-03,1.090230413053240976e+00
# refined_E4_3,1.756927913959147047e-02,1.804036540847017700e-02,1.797138768928223038e-02,1.183884423061081805e-02,2.010022690494366309e-03,4.539303040751799245e-03
# refined_E4_1,1.968799798029833431e-02,1.773601801319887872e-02,1.854771866660043234e-02,1.417544796594425241e-02,1.271470349726239527e-03,4.217278098431948008e-03, 1.37
# refined_E4_2,2.614810832089193432e-02,1.858876715569569502e-02,1.392201706149809315e-02,1.840715773885479717e-02,2.071724018520315104e-03,3.649864121688243743e-03, 1.17
# refined_E4_3,1.756905092441280944e-02,1.804035920010775909e-02,1.797189471881339290e-02,1.183987033399361462e-02,2.010022577675624981e-03,4.539298678321233155e-03, 1.37
# refined_E4_4,1.109647760955291031e-02,1.658848663881556281e-05,1.867541673542570473e-04,2.244953765381726973e-02,3.896374045988362789e-01,2.008979210096916435e-01
refined_E4_4,1.822808435237860403e-02,2.009019046668489641e-02,2.193238717415681507e-02,3.731069736913637368e-03,2.165861852903533218e-03,1.221452872945771179e-02, 1.11
refined_E4_5,1.711632290734154890e-02,1.686082876359888336e-02,1.695146366575028124e-02,7.836205335149688117e-03,1.444629010509977662e-03,3.433421876714078808e-03, 1.37
refined_E4_6,2.387632193590132415e-02,2.083330987269549003e-02,1.585642015496097415e-02,1.507339377488792556e-02,2.507280574301133311e-03,4.709188694982181615e-03, 1.00
refined_E4_7,1.814842000258470520e-02,1.805131708347107455e-02,1.309398250125901400e-02,1.187172294264551842e-02,2.630833579006872352e-03,3.163868685980681349e-03, 0.85
refined_E4_8,1.293691363390797947e-02,1.570102259497028682e-02,1.192051133760206431e-02,7.385796835920334716e-03,2.206543993861652311e-03,3.448080125217435881e-03, 0.75
# refined_E4_9,1.164254516877346289e-02,1.740066963566600303e-02,4.193455913658564616e-04,7.273469659572192290e-03,2.908042479676575809e-03,5.035526473217240978e-02
refined_E4_10,1.122200436819874997e-02,1.200395738695875063e-02,1.240889409210099541e-02,8.795418499849563809e-03,1.346663446486664594e-03,4.998933293641375647e-03, 0.55
refined_E4_11,1.135485425578644687e-02,1.210659885841527603e-02,1.202089599238951451e-02,6.758090717842224482e-03,1.691942957413197215e-03,3.819936719459435075e-03, 0.45
refined_E4_12,1.149392696437391038e-02,1.647993875341946524e-02,1.708587752955055897e-02,9.081228262735619935e-03,3.469639583662356783e-03,5.954396377229971907e-03, 0.35
# refined_E4_13,4.651952716832253085e-05,1.442371267784736504e-02,1.324366312641618105e-04,1.624253128508639676e+00,4.886789253135479481e-03,3.402061741330363320e-01
# refined_E4_14,5.472295227120146238e-02,9.510354421267073062e-06,5.311591603512721277e-02,1.113592283091384791e-11,9.924991559675847341e+00,9.047311236788472266e-01
