Untitled,Untitled 1
-0.001935,-0.000306
-0.001935,0.00002
-0.001935,0.00002
-0.001935,0.00002
-0.001284,0.00002
-0.000632,-0.000306
-0.000958,-0.000306
-0.001935,-0.000958
-0.001284,-0.000306
-0.001284,0.00002
-0.001609,-0.000632
-0.000958,-0.000306
-0.001935,-0.000306
-0.001284,-0.000306
-0.001284,0.000345
-0.001609,-0.000306
-0.000958,-0.000306
-0.001609,-0.000306
-0.001609,0.000671
-0.000306,0.000671
-0.001609,0.000671
-0.001609,0.00002
-0.001935,0.00002
-0.001935,-0.000306
-0.001609,-0.000306
-0.001609,-0.000306
-0.001935,-0.000306
-0.001284,0.00002
-0.000958,-0.000306
-0.002261,0.00002
-0.000632,0.000671
-0.000958,0.000345
-0.001935,0.000345
-0.001609,-0.000632
-0.001935,0.00002
-0.001609,0.00002
-0.001935,0.000345
-0.000958,-0.000306
-0.002261,0.000671
-0.001284,0.000345
-0.001284,0.000345
-0.000958,0.000671
-0.001609,0.000671
-0.001935,0.00002
-0.000306,0.000345
0.000997,0.00002
0.002626,-0.000306
0.003604,0.000345
0.004581,0.000345
0.005559,0.000345
0.007188,0.000671
0.007188,-0.000306
0.009143,0.00002
0.01012,-0.000306
0.011098,0.000345
0.012401,0.000671
0.013053,0.00002
0.014682,0.000671
0.015985,-0.000306
0.015985,-0.000632
0.016311,0.000671
0.017288,0.00002
0.017614,0.000345
0.018918,0.00002
0.019569,0.000345
0.021198,-0.000306
0.021524,0.000671
0.022827,0.00002
0.023479,0.000345
0.023153,-0.000306
0.023805,0.00002
0.024782,0.00002
0.024782,0.00002
0.025108,-0.000306
0.027389,-0.000306
0.029344,0.00002
0.031299,0.000345
0.033254,0.000997
0.033906,-0.000306
0.034557,0.000671
0.035535,-0.000306
0.036838,-0.000306
0.036838,-0.000306
0.038793,0.00002
0.03977,0.00002
0.040096,0.00002
0.042051,-0.000306
0.042703,-0.000306
0.043354,0.00002
0.043354,0.00002
0.044658,-0.000306
0.044006,-0.000306
0.044332,0.000345
0.046613,-0.000306
0.048242,0.000345
0.050523,-0.000958
0.053129,0.00002
0.054107,0.00002
0.055084,-0.000306
0.056713,0.00002
0.057691,0.000671
0.058342,0.000671
0.059972,-0.000632
0.061275,0.000671
0.062252,0.00002
0.062578,-0.000306
0.062904,0.00002
0.065185,-0.000306
0.067466,0.000345
0.069746,-0.000306
0.07105,-0.000306
0.07333,0.00002
0.075611,0.00002
0.076589,-0.000306
0.077892,0.000345
0.078218,0.000345
0.078544,0.00002
0.079195,-0.000306
0.080499,0.000671
0.081802,0.000345
0.083105,0.000671
0.084083,0.000345
0.085712,0.000345
0.087341,0.000671
0.088318,0.001323
0.089948,0.0023
0.090599,0.003278
0.092228,0.00393
0.093532,0.004581
0.094183,0.00621
0.094835,0.006862
0.096464,0.007188
0.09679,0.008165
0.096138,0.007839
0.097442,0.008817
0.098745,0.009469
0.100048,0.011098
0.102655,0.013704
0.104284,0.014682
0.105261,0.017614
0.106565,0.019895
0.108194,0.024131
0.109823,0.027389
0.111452,0.030647
0.111778,0.034231
0.111778,0.036186
0.112755,0.037815
0.115688,0.0414
0.116339,0.044984
0.117969,0.048568
0.11862,0.051826
0.119598,0.05541
0.120575,0.058342
0.121227,0.060297
0.123182,0.062252
0.123508,0.064533
0.124811,0.066162
0.125463,0.06714
0.127092,0.069095
0.127743,0.07105
0.128721,0.072027
0.129372,0.07333
0.129698,0.074634
0.130676,0.07496
0.129698,0.07496
0.131002,0.07496
0.132631,0.075611
0.132957,0.076915
0.133934,0.07724
0.135563,0.078544
0.136541,0.078869
0.137518,0.080499
0.139799,0.080173
0.141428,0.082454
0.144035,0.082454
0.143709,0.083105
0.144686,0.083105
0.145664,0.083431
0.14599,0.083105
0.147619,0.083105
0.147944,0.083757
0.147944,0.083105
0.147619,0.084734
0.148922,0.083757
0.150225,0.084408
0.151854,0.084083
0.153484,0.083431
0.154787,0.083431
0.156416,0.082454
0.157068,0.083105
0.159674,0.081802
0.160326,0.08115
0.161955,0.079521
0.16391,0.078544
0.16391,0.078218
0.165213,0.077566
0.166191,0.075611
0.167494,0.075285
0.167494,0.073005
0.168797,0.072679
0.168471,0.070724
0.168797,0.070072
0.168471,0.070072
0.170426,0.070398
0.172707,0.067791
0.174662,0.065185
0.176291,0.061927
0.177269,0.058342
0.179224,0.052803
0.181179,0.049545
0.182808,0.046939
0.182808,0.044332
0.184763,0.0414
0.185414,0.039445
0.186392,0.036838
0.187695,0.033906
0.188021,0.032928
0.188673,0.030321
0.189976,0.029344
0.190953,0.027389
0.191931,0.026086
0.191605,0.024457
0.193234,0.023153
0.194212,0.022176
0.194212,0.021524
0.194863,0.019243
0.195515,0.018266
0.198122,0.01794
0.199099,0.016637
0.201054,0.013704
0.201706,0.011424
0.202683,0.010446
0.204312,0.009794
0.204964,0.008817
0.206919,0.007839
0.207571,0.006862
0.209526,0.006536
0.210177,0.005233
0.212132,0.004907
0.213435,0.00621
0.214739,0.007188
0.215065,0.007514
0.215716,0.008165
0.216368,0.008817
0.217671,0.009469
0.218974,0.01012
0.219952,0.011424
0.220278,0.012075
0.220604,0.013379
0.219952,0.01403
0.220278,0.014682
0.221581,0.014682
0.223862,0.016311
0.225165,0.020873
0.22712,0.026412
0.229075,0.031951
0.230053,0.036186
0.231356,0.040422
0.231356,0.047264
0.232985,0.052803
0.233962,0.057691
0.235266,0.062904
0.236243,0.069421
0.236569,0.075285
0.237547,0.079847
0.237872,0.083431
0.239501,0.087341
0.239827,0.090925
0.240479,0.09679
0.242108,0.101677
0.240805,0.105261
0.241782,0.107868
0.242434,0.109497
0.244715,0.114384
0.246018,0.120901
0.248625,0.127743
0.249602,0.134911
0.251231,0.139799
0.25286,0.143383
0.254164,0.146641
0.255467,0.151529
0.256119,0.154787
0.25677,0.157393
0.258725,0.158697
0.259377,0.160326
0.259703,0.162281
0.261006,0.163584
0.261983,0.164562
0.261983,0.164887
0.263613,0.167168
0.262961,0.167168
0.263287,0.167494
0.263613,0.168471
0.266545,0.169775
0.270129,0.169775
0.27241,0.170101
0.273713,0.170101
0.275016,0.169123
0.276646,0.168797
0.277623,0.168471
0.279252,0.167168
0.28023,0.166842
0.280556,0.164236
0.281533,0.163584
0.283162,0.160978
0.285117,0.158045
0.286095,0.155113
0.285117,0.151854
0.287398,0.149248
0.287072,0.148596
0.288375,0.146967
0.289027,0.146967
0.290982,0.143383
0.292285,0.137844
0.295218,0.13035
0.296847,0.123182
0.29815,0.114384
0.299779,0.105913
0.301083,0.1007
0.301734,0.094509
0.303363,0.087667
0.303689,0.083431
0.304667,0.080499
0.30597,0.07496
0.306622,0.070072
0.307599,0.065836
0.308902,0.062904
0.309554,0.058342
0.309554,0.054433
0.310857,0.050523
0.310857,0.049545
0.310857,0.046287
0.311509,0.046287
0.313138,0.044332
0.314767,0.040422
0.316396,0.035209
0.319003,0.030321
0.320958,0.023479
0.323239,0.018266
0.325519,0.015333
0.326823,0.012075
0.328452,0.010772
0.330081,0.008817
0.332362,0.009143
0.333665,0.009143
0.335946,0.010772
0.335946,0.011098
0.336598,0.012401
0.336923,0.013704
0.336923,0.013379
0.340182,0.016311
0.342462,0.021524
0.343766,0.027389
0.345069,0.037164
0.346372,0.04368
0.347024,0.051826
0.348979,0.058668
0.350608,0.068769
0.35126,0.082128
0.35354,0.096464
0.354518,0.110149
0.35517,0.118946
0.356147,0.129047
0.357776,0.140776
0.357776,0.14827
0.359405,0.154787
0.360057,0.163258
0.360383,0.170752
0.361034,0.176943
0.36136,0.178898
0.362012,0.180527
0.363641,0.187695
0.365922,0.200728
0.368203,0.220278
0.370809,0.232333
0.372112,0.244063
0.374393,0.25286
0.376348,0.261332
0.377,0.270781
0.379606,0.275994
0.380258,0.28251
0.381561,0.289679
0.382865,0.292285
0.383842,0.295218
0.38482,0.297173
0.386123,0.299128
0.386123,0.300431
0.386775,0.302712
0.387426,0.302712
0.38873,0.303689
0.390685,0.30597
0.391336,0.306296
0.393943,0.307925
0.395246,0.308251
0.395898,0.308251
0.397201,0.307599
0.399808,0.305644
0.401437,0.303363
0.403066,0.300757
0.403718,0.297824
0.405021,0.295218
0.405998,0.293263
0.406976,0.289353
0.407627,0.286746
0.408605,0.28414
0.409257,0.281207
0.409908,0.277949
0.409908,0.27632
0.41056,0.275342
0.409257,0.275016
0.410234,0.275668
0.412189,0.273062
0.41447,0.266219
0.415773,0.256444
0.418054,0.24667
0.419683,0.234614
0.420661,0.222884
0.421964,0.214087
0.424245,0.205616
0.425874,0.194538
0.428154,0.18183
0.429784,0.168146
0.431087,0.157068
0.432064,0.147944
0.433694,0.13817
0.434671,0.131002
0.435648,0.125137
0.435648,0.118946
0.438255,0.113081
0.438581,0.105587
0.439558,0.102003
0.438907,0.097442
0.44021,0.094183
0.441513,0.093857
0.442817,0.090599
0.445423,0.080824
0.448356,0.072679
0.451288,0.063556
0.452591,0.058017
0.453569,0.054107
0.456175,0.050848
0.457479,0.050848
0.459434,0.049871
0.461389,0.053781
0.463995,0.060949
0.464973,0.070398
0.468231,0.080824
0.469209,0.091577
0.470838,0.102329
0.471815,0.115362
0.473118,0.124811
0.472141,0.131002
0.473444,0.137192
0.473444,0.139147
0.474422,0.141102
0.475073,0.14827
0.476703,0.15609
0.478983,0.170752
0.481916,0.187695
0.484848,0.212784
0.487129,0.236569
