Untitled,Untitled 1
-0.002261,0.001323
-0.001609,0.001323
-0.000958,0.001649
-0.001935,0.0023
-0.000958,0.000997
-0.001609,0.001323
-0.002261,0.001975
-0.000958,0.001649
-0.001284,0.001649
-0.001284,0.000997
-0.000958,0.001649
-0.002261,0.001649
-0.001609,0.000997
-0.001284,0.000671
-0.001609,0.001323
-0.000958,0.000671
-0.000306,0.001323
-0.001609,0.001323
-0.001284,0.000997
-0.001284,0.0023
-0.001284,0.000997
-0.001284,0.0023
-0.001935,0.000997
-0.001284,0.001649
-0.001935,0.001649
-0.001935,0.001649
-0.001284,0.001649
-0.001284,0.001649
-0.001609,0.001649
-0.001935,0.001323
-0.001284,0.001975
-0.001284,0.000997
-0.000306,0.001649
-0.001609,0.001649
-0.000632,0.001649
-0.001609,0.001323
-0.001609,0.001323
-0.001935,0.000671
-0.001284,0.001323
-0.000958,0.000997
-0.000958,0.000997
-0.001609,0.001975
-0.003239,0.000997
-0.001284,0.001649
-0.000958,0.001323
-0.001284,0.001649
-0.001284,0.001649
-0.000306,0.000997
0.00002,0.001975
0.001649,0.001323
0.001975,0.001975
0.002952,0.001975
0.00393,0.001649
0.00393,0.001323
0.004581,0.000671
0.005233,0.0023
0.004907,0.001975
0.006536,0.001323
0.006536,0.001649
0.006862,0.000997
0.008165,0.001323
0.008491,0.000997
0.008165,0.001975
0.009143,0.001649
0.009794,0.001649
0.01012,0.001323
0.010446,0.000671
0.012401,0.001975
0.012401,0.0023
0.012727,0.001975
0.013053,0.001649
0.014356,0.0023
0.015659,0.001649
0.016311,0.001975
0.016311,0.001323
0.01794,0.001649
0.018266,0.001649
0.019243,0.000997
0.019895,0.000997
0.020547,-0.000306
0.019569,0.000671
0.018918,0.000997
0.019569,0.00002
0.018266,0.000671
0.020547,0.000671
0.021198,0.000671
0.022827,0.000345
0.022176,-0.000306
0.022827,0.000671
0.023805,0.000671
0.025434,0.000671
0.02576,0.000997
0.027063,0.000671
0.028041,0.000997
0.028041,0.000345
0.029344,0.000997
0.030973,0.000671
0.030647,0.000671
0.030647,0.000671
0.031625,0.000671
0.031951,0.00002
0.032276,0.000345
0.032602,0.000671
0.032602,0.00002
0.032602,0.00002
0.03358,0.000671
0.034231,0.00002
0.036512,0.000345
0.036838,0.000997
0.037815,0.000345
0.038141,0.000345
0.038467,0.00002
0.040096,0.000671
0.040422,0.000671
0.0414,0.00002
0.0414,0.0023
0.042377,0.000997
0.042703,0.000671
